,capacity_1,capacity_2,capacity_3,capacity_4
456,4068.0,2378.0,1997.0,1861.0
457,3828.0,2235.0,1996.0,1774.0
458,2978.0,1752.0,1600.0,1351.0
459,3074.0,1839.0,1627.0,1432.0
460,3618.0,2084.0,1805.0,1630.0
461,3638.0,2177.0,1956.0,1845.0
462,3740.0,2186.0,1869.0,1625.0
463,3526.0,2116.0,1782.0,1631.0
464,3368.0,1997.0,1727.0,1554.0
465,3514.0,2074.0,1771.0,1612.0
466,3630.0,2143.0,1760.0,1608.0
467,3014.0,1777.0,1690.0,1526.0
468,3070.0,1804.0,1600.0,1400.0
469,3958.0,2313.0,1993.0,1822.0
470,3394.0,2001.0,1776.0,1667.0
471,3234.0,1925.0,1660.0,1600.0
472,3086.0,1833.0,1613.0,1441.0
473,3358.0,2017.0,1744.0,1596.0
474,3422.0,1976.0,1644.0,1534.0
475,3128.0,1872.0,1662.0,1498.0
476,3248.0,1931.0,1682.0,1606.0
477,3246.0,1879.0,1674.0,1453.0
478,3460.0,2078.0,1720.0,1652.0
479,3118.0,1870.0,1610.0,1489.0
480,3624.0,2107.0,1786.0,1792.0
481,3312.0,1936.0,1765.0,1549.0
482,3566.0,2126.0,1903.0,1910.0
483,2850.0,1704.0,1507.0,1394.0
484,3218.0,1908.0,1786.0,1694.0
485,3614.0,2069.0,1833.0,1622.0
486,3400.0,1967.0,1883.0,1652.0
487,3656.0,2148.0,1862.0,1767.0
488,3350.0,1955.0,1735.0,1543.0
489,3686.0,2170.0,1905.0,1620.0
490,3746.0,2161.0,1860.0,1652.0
491,3244.0,1932.0,1680.0,1545.0
492,3246.0,1916.0,1670.0,1521.0
493,3622.0,2091.0,1813.0,1657.0
494,3760.0,2138.0,1883.0,1605.0
495,3380.0,1935.0,1821.0,1631.0
496,3152.0,1921.0,1745.0,1582.0
497,3528.0,2103.0,1803.0,1699.0
498,3832.0,2254.0,1913.0,1688.0
499,3326.0,1928.0,1763.0,1546.0
500,2970.0,1715.0,1502.0,1419.0
501,3310.0,1884.0,1633.0,1474.0
502,3958.0,2334.0,1979.0,1757.0
503,3240.0,1933.0,1801.0,1620.0
504,3662.0,2104.0,1976.0,1800.0
505,3584.0,2140.0,1825.0,1605.0
506,3294.0,1963.0,1693.0,1604.0
507,3958.0,2283.0,1866.0,1759.0
508,3664.0,2192.0,1870.0,1802.0
509,2984.0,1839.0,1479.0,1350.0
510,3376.0,1919.0,1679.0,1515.0
511,3536.0,2072.0,1826.0,1714.0
512,3402.0,1999.0,1708.0,1498.0
513,3192.0,1890.0,1661.0,1493.0
514,2932.0,1750.0,1569.0,1415.0
515,3854.0,2252.0,1914.0,1765.0
516,3796.0,2231.0,1863.0,1715.0
517,2944.0,1751.0,1499.0,1381.0
518,3388.0,2010.0,1759.0,1526.0
519,3576.0,2170.0,1864.0,1721.0
520,4160.0,2373.0,2060.0,1844.0
521,3152.0,1837.0,1600.0,1397.0
522,3484.0,2065.0,1791.0,1707.0
523,3218.0,1788.0,1503.0,1335.0
524,3508.0,2064.0,1791.0,1590.0
525,2766.0,1661.0,1510.0,1396.0
526,2852.0,1720.0,1656.0,1567.0
527,3518.0,2090.0,1720.0,1591.0
528,3020.0,1834.0,1614.0,1512.0
529,2672.0,1594.0,1405.0,1323.0
530,2948.0,1815.0,1503.0,1422.0
531,3360.0,2048.0,1837.0,1747.0
532,3446.0,2076.0,1873.0,1670.0
533,3106.0,1869.0,1749.0,1611.0
534,3904.0,2218.0,2017.0,1787.0
535,3026.0,1770.0,1636.0,1466.0
536,3812.0,2250.0,1855.0,1613.0
537,3110.0,1853.0,1650.0,1466.0
538,3892.0,2274.0,2007.0,1871.0
539,3778.0,2221.0,1833.0,1655.0
540,3366.0,1993.0,1782.0,1561.0
541,3560.0,2085.0,1887.0,1665.0
542,3024.0,1759.0,1619.0,1535.0
543,3344.0,1933.0,1772.0,1495.0
544,3416.0,2040.0,1783.0,1600.0
545,3686.0,2197.0,1844.0,1743.0
546,3310.0,1939.0,1647.0,1526.0
547,3540.0,2093.0,1822.0,1692.0
548,3346.0,2029.0,1693.0,1610.0
549,3066.0,1844.0,1660.0,1430.0
550,3112.0,1834.0,1638.0,1523.0
551,3346.0,1948.0,1693.0,1529.0
552,3362.0,2037.0,1751.0,1595.0
553,3438.0,1982.0,1765.0,1612.0
554,3064.0,1817.0,1643.0,1429.0
555,3228.0,1908.0,1676.0,1516.0
556,3432.0,2028.0,1851.0,1733.0
557,3108.0,1853.0,1708.0,1516.0
558,3928.0,2315.0,1937.0,1839.0
559,3768.0,2211.0,1928.0,1683.0
560,3286.0,1954.0,1702.0,1466.0
561,3352.0,1963.0,1775.0,1557.0
562,3464.0,2063.0,1740.0,1638.0
563,3312.0,1972.0,1809.0,1658.0
564,3100.0,1881.0,1803.0,1674.0
565,3758.0,2209.0,2075.0,1883.0
566,3470.0,2049.0,1652.0,1539.0
567,3884.0,2304.0,1970.0,1850.0
568,3174.0,1862.0,1691.0,1495.0
