,capacity_1,capacity_2,capacity_3,capacity_4
718,1090.0,716.0,634.0,564.0
719,916.0,644.0,547.0,508.0
720,1224.0,783.0,673.0,592.0
721,1508.0,897.0,682.0,571.0
722,984.0,622.0,506.0,424.0
723,1084.0,717.0,586.0,520.0
724,880.0,569.0,480.0,430.0
725,986.0,660.0,536.0,500.0
726,1298.0,841.0,670.0,611.0
727,1084.0,715.0,590.0,552.0
728,1408.0,914.0,750.0,677.0
729,1618.0,994.0,810.0,706.0
730,1562.0,969.0,790.0,708.0
731,1064.0,653.0,541.0,450.0
732,1304.0,857.0,706.0,655.0
733,1292.0,871.0,721.0,668.0
734,1216.0,839.0,714.0,673.0
735,880.0,604.0,529.0,473.0
736,1228.0,805.0,703.0,649.0
737,1376.0,820.0,733.0,641.0
738,1298.0,853.0,679.0,600.0
739,1674.0,1019.0,823.0,692.0
740,1046.0,635.0,569.0,479.0
741,1474.0,939.0,678.0,620.0
742,1368.0,872.0,703.0,618.0
743,1220.0,719.0,593.0,497.0
744,1356.0,900.0,760.0,675.0
745,1294.0,800.0,684.0,571.0
746,1488.0,934.0,776.0,659.0
747,1110.0,705.0,606.0,526.0
748,1364.0,858.0,673.0,618.0
749,788.0,529.0,458.0,423.0
750,1562.0,979.0,820.0,659.0
751,1234.0,820.0,709.0,629.0
752,1198.0,772.0,617.0,558.0
753,1922.0,1157.0,938.0,818.0
754,1320.0,829.0,707.0,597.0
755,1342.0,824.0,686.0,555.0
756,1348.0,841.0,721.0,662.0
757,1508.0,952.0,799.0,690.0
758,1048.0,686.0,615.0,527.0
759,1382.0,879.0,729.0,630.0
760,1906.0,1177.0,939.0,822.0
761,1276.0,817.0,678.0,619.0
762,1276.0,795.0,647.0,553.0
763,1634.0,1029.0,877.0,730.0
764,1166.0,764.0,637.0,592.0
765,1438.0,903.0,733.0,645.0
766,746.0,527.0,452.0,427.0
767,950.0,565.0,491.0,446.0
768,1064.0,658.0,594.0,520.0
769,1574.0,1021.0,817.0,713.0
770,1248.0,807.0,688.0,609.0
771,978.0,673.0,563.0,509.0
772,1592.0,1051.0,842.0,736.0
773,1258.0,818.0,659.0,577.0
774,1280.0,866.0,714.0,644.0
775,1296.0,845.0,720.0,649.0
776,1524.0,959.0,764.0,672.0
777,1292.0,870.0,725.0,676.0
778,1032.0,694.0,563.0,509.0
779,1524.0,957.0,814.0,684.0
780,1526.0,965.0,814.0,692.0
781,1142.0,697.0,567.0,487.0
782,956.0,596.0,468.0,423.0
783,838.0,539.0,474.0,429.0
784,1102.0,714.0,593.0,537.0
785,1188.0,841.0,714.0,648.0
786,1288.0,852.0,731.0,663.0
787,1558.0,950.0,778.0,651.0
788,1586.0,948.0,738.0,654.0
789,1290.0,866.0,663.0,607.0
790,1122.0,753.0,640.0,562.0
791,1336.0,845.0,690.0,603.0
792,1264.0,868.0,746.0,680.0
793,1458.0,936.0,736.0,693.0
794,844.0,546.0,464.0,413.0
795,956.0,606.0,461.0,415.0
796,1054.0,679.0,565.0,520.0
797,1306.0,827.0,695.0,635.0
